,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
603,1240
604,1207
605,1189
606,1231
607,1262
608,1224
609,1178
610,1223
611,1201
612,1241
613,1165
614,1178
615,1231
616,1165
617,1215
618,1204
619,1191
620,1229
621,1193
622,1176
623,1184
624,1193
625,1197
626,1200
627,1237
628,1193
629,1152
630,1254
631,1207
632,1293
633,1226
634,1218
635,1201
636,1243
637,1217
638,1266
639,1171
640,1162
641,1229
642,1194
643,1161
644,1235
645,1240
646,1166
647,1196
648,1227
649,1143
650,1181
651,1197
652,1218
653,1234
654,1217
655,1206
656,1217
657,1217
658,1196
659,1280
660,1217
661,1166
662,1209
663,1202
664,1258
665,1258
666,1197
667,1196
668,1201
669,1226
670,1209
671,1188
672,1165
673,1133
674,1222
675,1202
676,1236
677,1214
678,1243
679,1147
680,1217
681,1242
682,1211
683,1196
684,1243
685,1207
686,1212
687,1204
688,1118
689,1203
690,1237
691,1177
692,1259
693,1212
694,1238
695,1213
696,1223
697,1207
698,1200
699,1235
700,1195
701,1212
702,1234
703,1222
704,1216
705,1169
706,1180
707,1194
708,1237
709,1212
710,1194
711,1228
712,1298
713,1158
714,1223
715,1238
716,1206
717,1226
718,1233
719,1225
720,1206
721,1229
722,1112
723,1220
724,1265
725,1272
726,1217
727,1207
728,1178
729,1234
730,1192
731,1168
732,1223
733,1182
734,1215
735,1234
736,1202
737,1249
738,1130
739,1176
740,1215
741,1242
742,1245
743,1192
744,1188
745,1238
746,1204
747,1246
748,1204
749,1294
750,1223
751,1230
752,1232
753,1205
754,1146
755,1219
756,1199
757,1171
758,1218
759,1180
760,1193
761,1197
762,1185
763,1145
764,1226
765,1250
766,1199
767,1165
768,1156
769,1222
770,1160
771,1157
772,1215
773,1168
774,1216
775,1228
776,1185
777,1200
778,1201
779,1223
780,1233
781,1235
782,1114
783,1170
784,1196
785,1257
786,1176
787,1138
788,1223
789,1166
790,1185
791,1215
792,1233
793,1175
794,1216
795,1166
796,1202
797,1246
798,1242
799,1231
800,1214
801,1190
802,1242
803,0
